Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
BBCA,0.03847,0.0,0.65005994,0.028,0.015,,1050678386491392.0,Tidak Memenuhi
BBRI,0.02767,0.0,0.44311002,0.213,-0.055,,603204802838528.0,Tidak Memenuhi
BMRI,0.0231,0.0,0.50716996,0.027,-0.142,,440533319155712.0,Tidak Memenuhi
BBNI,0.01751,0.0,0.41597,-0.018,-0.106,,163184782606336.0,Memenuhi
BRIS,0.01931,0.0,0.43702,0.174,0.104,,117629608001536.0,Tidak Memenuhi
BBTN,0.0066799996,0.0,0.48372,0.138,0.026,,17192194146304.0,Tidak Memenuhi
COIN,,0.9984,0.19952999,187.582,,3.906,37058823323648.0,Tidak Memenuhi
ARTO,0.0078799995,0.0,0.20688,0.136,0.993,,30356315045888.0,Tidak Memenuhi
BNGA,0.01977,0.0,0.52362996,0.01,-0.044,,43870117167104.0,Memenuhi
BTPS,0.056739997,0.0,0.39766997,0.186,0.376,,10553736036352.0,Memenuhi
BJTM,0.01307,0.0,0.2848,0.172,0.141,,8183446241280.0,Memenuhi
BBKP,-0.03354,0.0,-0.24757999,,,,12776352251904.0,Tidak Memenuhi
SRTG,0.05203,1.0,0.99443,1.682,1.813,251.959,23296588382208.0,Tidak Memenuhi
BBYB,0.01632,0.0,0.34935,0.585,,,5179986935808.0,Tidak Memenuhi
AGRO,0.00483,0.0,0.08515,-0.189,0.474,,5739794399232.0,Tidak Memenuhi
NISP,0.01793,0.0,0.4911,0.049,0.042,,31549783277568.0,Memenuhi
BJBR,0.0066000004,0.0,0.12991,0.014,-0.739,,8469762015232.0,Tidak Memenuhi
PNLF,0.01475,0.0,0.34608,0.001,-0.019,,7685297668096.0,Tidak Memenuhi
BFIN,0.06613,0.96699,0.41801998,0.032,0.1,2.64,12106703306752.0,Tidak Memenuhi
BDMN,0.0143,0.0,0.28620002,0.063,0.406,,25118029905920.0,Tidak Memenuhi
BBHI,0.03549,0.0,0.43182,0.202,0.285,,32486734168064.0,Tidak Memenuhi
BABP,0.0044400003,0.0,0.16032,0.131,0.117,,2356326694912.0,Tidak Memenuhi
BNLI,0.013990001,0.0,0.52842,0.011,,,190856418033664.0,Tidak Memenuhi
PNBS,0.00221,0.0,0.13172,-0.056,0.833,,1979495743488.0,Tidak Memenuhi
BANK,0.01248,0.0,0.19552,1.092,,,13744627253248.0,Tidak Memenuhi
INPC,0.00452,0.0,0.103269994,0.039,-0.053,,3073958739968.0,Tidak Memenuhi
BGTG,0.02717,0.0,0.54971004,0.139,0.625,,2708722679808.0,Tidak Memenuhi
BNII,0.00878,0.0,0.13135,-0.102,-0.44,,15700330545152.0,Tidak Memenuhi
BCAP,0.00465,0.64845,0.16203,0.315,0.037,4.167,2301418012672.0,Tidak Memenuhi
ADMF,0.03737,0.97769,0.25035,-0.031,-0.03,10.24,11060438368256.0,Tidak Memenuhi
PNBN,0.01308,0.0,0.37203997,0.073,0.102,,24787747340288.0,Tidak Memenuhi
CFIN,0.01898,0.99513,0.12638,0.057,0.7,85.412,1283015573504.0,Tidak Memenuhi
BTPN,0.01153,0.0,0.18577999,-0.015,-0.376,,22675862847488.0,Tidak Memenuhi
MEGA,0.02145,0.0,0.53425,0.049,0.945,,38510228668416.0,Tidak Memenuhi
BACA,0.0050199996,0.0,0.0854,0.375,-0.296,,2753517584384.0,Tidak Memenuhi
BEKS,0.00496,0.0,0.07196,0.704,0.213,,173095452672.0,Tidak Memenuhi
MAYA,0.00017000001,0.0,0.05584,0.361,-0.343,,6332621520896.0,Tidak Memenuhi
PALM,-0.088920005,0.0,0.99355006,0.498,0.569,0.107,6450478317568.0,Tidak Memenuhi
NOBU,0.012990001,0.0,0.42361,0.339,0.605,,3851398676480.0,Memenuhi
BVIC,0.00519,0.0,0.34928,-0.044,-0.722,,1823106400256.0,Tidak Memenuhi
TUGU,0.01212,0.42110002,0.46533,-0.307,-0.323,0.798,3715576365056.0,Tidak Memenuhi
BSIM,0.00669,0.0,-0.45398,-0.235,0.131,,17251641065472.0,Tidak Memenuhi
